Código,Cidade,Estado,Fem - 50 a 69,% Fem - 50 a 69,Total,DRS
353900,PIRANGI,SP,1412,"24,85%",351,DRS 15
353960,PLANALTO,SP,504,"19,83%",100,DRS 15
353990,POLONI,SP,623,"20,49%",128,DRS 15
354025,PONTALINDA,SP,463,"21,02%",98,DRS 15
354030,PONTES GESTAL,SP,310,"24,88%",78,DRS 15
354040,POPULINA,SP,535,"26,32%",141,DRS 15
354080,POTIRENDABA,SP,2015,"23,21%",468,DRS 15
354420,RIOLANDIA,SP,980,"17,76%",175,DRS 15
354450,RUBINEIA,SP,487,"30,84%",151,DRS 15
354480,SALES,SP,825,"26,37%",218,DRS 15
354560,SANTA ADELIA,SP,1749,"22,42%",393,DRS 15
354570,SANTA ALBERTINA,SP,731,"25,22%",185,DRS 15
354610,SANTA CLARA D'OESTE,SP,283,"28,44%",81,DRS 15
354660,SANTA FE DO SUL,SP,4340,"25,69%",1115,DRS 15
354720,SANTANA DA PONTE PENSA,SP,212,"30,72%",66,DRS 15
354740,SANTA RITA D'OESTE,SP,363,"28,99%",106,DRS 15
354765,SANTA SALETE,SP,197,"26,55%",53,DRS 15
354900,SAO FRANCISCO,SP,366,"26,60%",98,DRS 15
354920,SAO JOAO DAS DUAS PONTES,SP,327,"25,21%",83,DRS 15
354925,SAO JOAO DE IRACEMA,SP,253,"25,90%",66,DRS 15
354980,SAO JOSE DO RIO PRETO,SP,59244,"24,36%",14432,DRS 15
355130,SEBASTIANOPOLIS DO SUL,SP,409,"22,77%",94,DRS 15
355260,TABAPUA,SP,1476,"23,93%",354,DRS 15
355340,TANABI,SP,3242,"25,24%",819,DRS 15
355490,TRES FRONTEIRAS,SP,746,"25,62%",192,DRS 15
355530,TURMALINA,SP,284,"34,01%",97,DRS 15
355535,UBARANA,SP,588,"18,51%",109,DRS 15
355560,UCHOA,SP,1240,"24,29%",302,DRS 15
355570,UNIAO PAULISTA,SP,157,"17,56%",28,DRS 15
355580,URANIA,SP,1166,"25,62%",299,DRS 15
355600,URUPES,SP,1774,"25,25%",448,DRS 15
355610,VALENTIM GENTIL,SP,1494,"21,94%",328,DRS 15
355695,VITORIA BRASIL,SP,223,"25,40%",57,DRS 15
355710,VOTUPORANGA,SP,12407,"25,29%",3138,DRS 15
355715,ZACARIAS,SP,327,"23,36%",77,DRS 15
