Código,Município,Estado,Fem - 50 a 69,% Fem - 50 a 69,Total,DRS
350715,BOM SUCESSO DE ITARARE,SP,317,"16,08%",51,DRS 16
350720,BORA,SP,80,"19,90%",16,DRS 9
350730,BORACEIA,SP,485,"19,91%",97,DRS 6
350740,BORBOREMA,SP,1874,"23,50%",441,DRS 3
350745,BOREBI,SP,302,"21,60%",66,DRS 6
350750,BOTUCATU,SP,16897,"21,99%",3716,DRS 6
350760,BRAGANCA PAULISTA,SP,19660,"22,47%",4418,DRS 7
350770,BRAUNA,SP,584,"20,70%",121,DRS 2
350775,BREJO ALEGRE,SP,304,"21,64%",66,DRS 2
350780,BRODOWSKI,SP,2788,"21,46%",599,DRS 13
350790,BROTAS,SP,2646,"21,04%",557,DRS 6
350800,BURI,SP,1853,"18,65%",346,DRS 16
350810,BURITAMA,SP,2076,"24,35%",506,DRS 2
350820,BURITIZAL,SP,525,"23,99%",126,DRS 8
350830,CABRALIA PAULISTA,SP,458,"22,45%",103,DRS 6
350840,CABREUVA,SP,4592,"18,09%",831,DRS 7
350850,CACAPAVA,SP,10671,"22,16%",2365,DRS 17
350860,CACHOEIRA PAULISTA,SP,3845,"22,33%",859,DRS 17
350870,CACONDE,SP,2214,"23,20%",514,DRS 14
350880,CAFELANDIA,SP,2086,"23,07%",482,DRS 6
350890,CAIABU,SP,507,"24,96%",127,DRS 11
350900,CAIEIRAS,SP,10895,"20,35%",2218,DRS 1
350910,CAIUA,SP,744,"26,87%",200,DRS 11
350920,CAJAMAR,SP,6765,"17,03%",1153,DRS 1
350925,CAJATI,SP,2659,"18,71%",498,DRS 12
350930,CAJOBI,SP,1256,"24,36%",306,DRS 5
350940,CAJURU,SP,2753,"20,61%",568,DRS 13
350945,CAMPINA DO MONTE ALEGRE,SP,662,"22,24%",148,DRS 16
350950,CAMPINAS,SP,143078,"22,59%",32322,DRS 7
350960,CAMPO LIMPO PAULISTA,SP,9371,"21,17%",1984,DRS 7
350970,CAMPOS DO JORDAO,SP,5657,"20,98%",1187,DRS 17
350980,CAMPOS NOVOS PAULISTA,SP,517,"21,21%",110,DRS 9
350990,CANANEIA,SP,1325,"21,23%",282,DRS 12
350995,CANAS,SP,441,"16,81%",75,DRS 17
351000,CANDIDO MOTA,SP,3946,"24,55%",969,DRS 9
351010,CANDIDO RODRIGUES,SP,363,"26,02%",95,DRS 3
351015,CANITAR,SP,449,"16,99%",77,DRS 9
351020,CAPAO BONITO,SP,4918,"20,85%",1026,DRS 16
351030,CAPELA DO ALTO,SP,2025,"20,22%",410,DRS 16
351040,CAPIVARI,SP,5615,"20,05%",1126,DRS 10
351050,CARAGUATATUBA,SP,13579,"21,41%",2908,DRS 17
351060,CARAPICUIBA,SP,40679,"19,45%",7913,DRS 1
351070,CARDOSO,SP,1588,"25,72%",409,DRS 15
351080,CASA BRANCA,SP,3352,"23,38%",784,DRS 14
351090,CASSIA DOS COQUEIROS,SP,320,"25,93%",83,DRS 13
351100,CASTILHO,SP,2266,"21,29%",483,DRS 2
351110,CATANDUVA,SP,15542,"24,56%",3818,DRS 15
351120,CATIGUA,SP,903,"23,33%",211,DRS 15
351130,CEDRAL,SP,1126,"23,87%",269,DRS 15
351140,CERQUEIRA CESAR,SP,2075,"20,24%",420,DRS 6
351150,CERQUILHO,SP,5556,"21,84%",1214,DRS 16
351160,CESARIO LANGE,SP,1683,"18,86%",318,DRS 16
351170,CHARQUEADA,SP,1654,"19,64%",325,DRS 10
351190,CLEMENTINA,SP,717,"16,97%",122,DRS 2
351200,COLINA,SP,2165,"23,14%",501,DRS 5
351210,COLOMBIA,SP,664,"21,70%",145,DRS 5
351220,CONCHAL,SP,2678,"19,21%",515,DRS 10
351230,CONCHAS,SP,2086,"22,93%",479,DRS 6
351240,CORDEIROPOLIS,SP,2495,"20,24%",505,DRS 10
351250,COROADOS,SP,682,"22,11%",151,DRS 2
351260,CORONEL MACEDO,SP,567,"25,43%",145,DRS 6
351270,CORUMBATAI,SP,467,"23,21%",109,DRS 10
351280,COSMOPOLIS,SP,6816,"18,38%",1253,DRS 7
351290,COSMORAMA,SP,948,"26,74%",254,DRS 15
351300,COTIA,SP,26155,"19,86%",5195,DRS 1
351310,CRAVINHOS,SP,3888,"21,62%",841,DRS 13
351320,CRISTAIS PAULISTA,SP,938,"21,97%",207,DRS 8
351330,CRUZALIA,SP,312,"29,86%",94,DRS 9
351340,CRUZEIRO,SP,9784,"23,05%",2256,DRS 17
351350,CUBATAO,SP,12991,"19,51%",2535,DRS 4
351360,CUNHA,SP,2599,"24,72%",643,DRS 17
351370,DESCALVADO,SP,4046,"23,39%",947,DRS 3
351380,DIADEMA,SP,45196,"20,27%",9162,DRS 1
351385,DIRCE REIS,SP,224,"25,93%",59,DRS 15
351390,DIVINOLANDIA,SP,1502,"26,92%",405,DRS 14
351400,DOBRADA,SP,759,"17,09%",130,DRS 3
351410,DOIS CORREGOS,SP,2667,"19,47%",520,DRS 6
351420,DOLCINOPOLIS,SP,282,"27,49%",78,DRS 15
351430,DOURADO,SP,1109,"25,05%",278,DRS 3
351440,DRACENA,SP,6046,"26,14%",1581,DRS 11
351450,DUARTINA,SP,1614,"25,48%",412,DRS 6
351460,DUMONT,SP,949,"18,65%",177,DRS 13
351470,ECHAPORA,SP,761,"24,99%",191,DRS 9
351480,ELDORADO,SP,1473,"19,08%",282,DRS 12
351490,ELIAS FAUSTO,SP,1839,"21,33%",393,DRS 10
351492,ELISIARIO,SP,351,"20,31%",72,DRS 15
351495,EMBAUBA,SP,281,"24,27%",69,DRS 15
351500,EMBU DAS ARTES,SP,26692,"18,49%",4936,DRS 1
351510,EMBU-GUACU,SP,7106,"20,08%",1427,DRS 1
351512,EMILIANOPOLIS,SP,383,"23,97%",92,DRS 11
351515,ENGENHEIRO COELHO,SP,1472,"14,39%",212,DRS 10
351518,ESPIRITO SANTO DO PINHAL,SP,5578,"24,48%",1366,DRS 14
351519,ESPIRITO SANTO DO TURVO,SP,503,"20,18%",102,DRS 9
351520,ESTRELA D'OESTE,SP,1036,"24,78%",257,DRS 15
351530,ESTRELA DO NORTE,SP,295,"22,18%",66,DRS 11
351535,EUCLIDES DA CUNHA PAULISTA,SP,1014,"22,24%",226,DRS 11
351540,FARTURA,SP,1959,"23,54%",462,DRS 6
351550,FERNANDOPOLIS,SP,9294,"26,11%",2427,DRS 15
351560,FERNANDO PRESTES,SP,696,"23,71%",166,DRS 15
351565,FERNAO,SP,182,"21,44%",40,DRS 9
351570,FERRAZ DE VASCONCELOS,SP,19230,"18,83%",3622,DRS 1
351580,FLORA RICA,SP,190,"27,82%",53,DRS 11
351590,FLOREAL,SP,466,"32,05%",150,DRS 15
351600,FLORIDA PAULISTA,SP,1317,"21,97%",290,DRS 9
351610,FLORINIA,SP,371,"27,71%",103,DRS 9
351620,FRANCA,SP,40697,"22,12%",9003,DRS 8
351630,FRANCISCO MORATO,SP,16222,"17,98%",2917,DRS 1
351640,FRANCO DA ROCHA,SP,13982,"17,95%",2510,DRS 1
351650,GABRIEL MONTEIRO,SP,417,"30,26%",127,DRS 2
351660,GALIA,SP,785,"24,32%",191,DRS 9
351670,GARCA,SP,5393,"23,62%",1274,DRS 9
351680,GASTAO VIDIGAL,SP,427,"21,08%",91,DRS 15
351685,GAVIAO PEIXOTO,SP,463,"19,24%",90,DRS 3
351690,GENERAL SALGADO,SP,1463,"26,94%",395,DRS 15
351700,GETULINA,SP,1106,"21,55%",239,DRS 6
351710,GLICERIO,SP,525,"21,72%",115,DRS 2
351720,GUAICARA,SP,1268,"20,90%",266,DRS 6
351730,GUAIMBE,SP,639,"22,09%",142,DRS 9
351740,GUAIRA,SP,4733,"22,63%",1072,DRS 5
351750,GUAPIACU,SP,2443,"22,45%",549,DRS 15
351760,GUAPIARA,SP,1878,"22,57%",424,DRS 16
351770,GUARA,SP,2066,"19,27%",399,DRS 8
351780,GUARACAI,SP,1105,"26,59%",294,DRS 2
351790,GUARACI,SP,1107,"20,08%",223,DRS 5
351800,GUARANI D'OESTE,SP,259,"24,39%",64,DRS 15
351810,GUARANTA,SP,709,"21,17%",151,DRS 9
351820,GUARARAPES,SP,4232,"25,09%",1062,DRS 2
351830,GUARAREMA,SP,3271,"21,53%",705,DRS 1
351840,GUARATINGUETA,SP,15531,"24,27%",3770,DRS 17
351850,GUAREI,SP,1198,"20,21%",243,DRS 16
351860,GUARIBA,SP,3758,"18,66%",702,DRS 13
351870,GUARUJA,SP,34769,"20,79%",7229,DRS 4
351880,GUARULHOS,SP,144096,"19,95%",28748,DRS 1
351885,GUATAPARA,SP,769,"20,42%",158,DRS 13
351890,GUZOLANDIA,SP,589,"22,65%",134,DRS 2
351900,HERCULANDIA,SP,1075,"22,45%",242,DRS 9
351905,HOLAMBRA,SP,1641,"21,17%",348,DRS 7
351907,HORTOLANDIA,SP,23218,"20,07%",4660,DRS 7
351910,IACANGA,SP,1182,"21,11%",250,DRS 6
351920,IACRI,SP,835,"27,29%",228,DRS 9
351925,IARAS,SP,414,"18,55%",77,DRS 6
351930,IBATE,SP,3261,"19,01%",620,DRS 3
351940,IBIRA,SP,1398,"22,51%",315,DRS 15
351950,IBIRAREMA,SP,805,"20,67%",167,DRS 9
351960,IBITINGA,SP,6725,"21,89%",1473,DRS 3
351970,IBIUNA,SP,8345,"21,16%",1766,DRS 16
351980,ICEM,SP,825,"20,29%",168,DRS 15
351990,IEPE,SP,974,"23,71%",231,DRS 11
352000,IGARACU DO TIETE,SP,2842,"22,78%",648,DRS 6
352010,IGARAPAVA,SP,3306,"21,62%",715,DRS 8
352020,IGARATA,SP,1125,"23,64%",266,DRS 17
352030,IGUAPE,SP,3681,"23,64%",871,DRS 12
352040,ILHABELA,SP,3300,"18,23%",602,DRS 17
352042,ILHA COMPRIDA,SP,1850,"30,96%",573,DRS 12
352044,ILHA SOLTEIRA,SP,3735,"27,04%",1010,DRS 2
352050,INDAIATUBA,SP,27518,"21,08%",5801,DRS 7
352060,INDIANA,SP,592,"24,49%",145,DRS 11
352070,INDIAPORA,SP,556,"27,94%",156,DRS 15
352080,INUBIA PAULISTA,SP,455,"22,51%",103,DRS 9
352090,IPAUSSU,SP,1497,"20,35%",305,DRS 9
352100,IPERO,SP,3176,"17,75%",564,DRS 16
352110,IPEUNA,SP,660,"17,63%",117,DRS 10
352115,IPIGUA,SP,691,"24,89%",172,DRS 15
352120,IPORANGA,SP,383,"18,55%",72,DRS 12
352130,IPUA,SP,1480,"18,11%",269,DRS 8
352140,IRACEMAPOLIS,SP,2578,"20,68%",534,DRS 10
352150,IRAPUA,SP,816,"21,78%",178,DRS 15
352160,IRAPURU,SP,769,"26,66%",206,DRS 11
352170,ITABERA,SP,2012,"23,37%",471,DRS 16
352180,ITAI,SP,2439,"20,03%",489,DRS 6
352190,ITAJOBI,SP,1998,"26,45%",529,DRS 15
352200,ITAJU,SP,332,"18,15%",61,DRS 6
352210,ITANHAEM,SP,13379,"24,54%",3284,DRS 4
352215,ITAOCA,SP,367,"23,13%",85,DRS 16
352220,ITAPECERICA DA SERRA,SP,16526,"18,69%",3089,DRS 1
352230,ITAPETININGA,SP,16964,"20,40%",3461,DRS 16
352240,ITAPEVA,SP,9683,"20,14%",1951,DRS 16
352250,ITAPEVI,SP,21061,"16,98%",3577,DRS 1
352260,ITAPIRA,SP,9280,"24,19%",2245,DRS 14
352265,ITAPIRAPUA PAULISTA,SP,316,"15,14%",48,DRS 16
352270,ITAPOLIS,SP,5148,"23,61%",1216,DRS 3
352280,ITAPORANGA,SP,1800,"23,90%",431,DRS 6
352290,ITAPUI,SP,1458,"20,53%",300,DRS 6
352300,ITAPURA,SP,529,"22,01%",117,DRS 2
352310,ITAQUAQUECETUBA,SP,34792,"17,98%",6256,DRS 1
352320,ITARARE,SP,5495,"21,32%",1172,DRS 16
352330,ITARIRI,SP,1565,"17,61%",276,DRS 12
352340,ITATIBA,SP,13586,"21,67%",2945,DRS 7
352350,ITATINGA,SP,1817,"17,71%",322,DRS 6
352360,ITIRAPINA,SP,1555,"21,29%",332,DRS 10
352370,ITIRAPUA,SP,626,"19,25%",121,DRS 8
352380,ITOBI,SP,881,"23,21%",205,DRS 14
352390,ITU,SP,19303,"21,51%",4153,DRS 16
352400,ITUPEVA,SP,5332,"16,89%",901,DRS 7
352410,ITUVERAVA,SP,4984,"23,01%",1147,DRS 8
352420,JABORANDI,SP,717,"20,64%",148,DRS 5
352430,JABOTICABAL,SP,9413,"23,50%",2213,DRS 13
352440,JACAREI,SP,27660,"22,70%",6279,DRS 17
352450,JACI,SP,736,"20,40%",151,DRS 15
352460,JACUPIRANGA,SP,1867,"21,29%",398,DRS 12
352470,JAGUARIUNA,SP,6206,"20,44%",1269,DRS 7
352480,JALES,SP,6830,"27,10%",1851,DRS 15
352490,JAMBEIRO,SP,628,"19,20%",121,DRS 17
352500,JANDIRA,SP,12297,"18,76%",2307,DRS 1
352510,JARDINOPOLIS,SP,4560,"20,26%",924,DRS 13
352520,JARINU,SP,3094,"19,80%",613,DRS 7
352530,JAU,SP,17400,"22,22%",3867,DRS 6
352540,JERIQUARA,SP,292,"18,41%",54,DRS 8
352550,JOANOPOLIS,SP,1611,"23,88%",385,DRS 7
352560,JOAO RAMALHO,SP,498,"22,20%",111,DRS 11
352570,JOSE BONIFACIO,SP,4145,"22,13%",918,DRS 15
352580,JULIO MESQUITA,SP,537,"22,29%",120,DRS 9
352585,JUMIRIM,SP,325,"19,12%",63,DRS 16
352590,JUNDIAI,SP,50267,"22,97%",11547,DRS 7
352600,JUNQUEIROPOLIS,SP,2337,"24,25%",567,DRS 11
352610,JUQUIA,SP,2056,"22,18%",457,DRS 12
352620,JUQUITIBA,SP,3193,"20,55%",657,DRS 1
352630,LAGOINHA,SP,584,"24,77%",145,DRS 17
352640,LARANJAL PAULISTA,SP,3282,"22,38%",735,DRS 6
352650,LAVINIA,SP,504,"25,36%",128,DRS 2
352660,LAVRINHAS,SP,725,"19,54%",142,DRS 17
352670,LEME,SP,10702,"20,41%",2185,DRS 10
352680,LENCOIS PAULISTA,SP,7439,"21,27%",1583,DRS 6
352690,LIMEIRA,SP,36726,"23,21%",8525,DRS 10
352700,LINDOIA,SP,881,"21,17%",187,DRS 7
352710,LINS,SP,9474,"23,58%",2234,DRS 6
352720,LORENA,SP,10327,"22,34%",2308,DRS 17
352725,LOURDES,SP,298,"27,44%",82,DRS 2
352730,LOUVEIRA,SP,3885,"15,53%",604,DRS 7
352740,LUCELIA,SP,2461,"24,64%",607,DRS 9
352750,LUCIANOPOLIS,SP,269,"21,96%",60,DRS 6
352760,LUIS ANTONIO,SP,1341,"17,88%",240,DRS 13
352770,LUIZIANIA,SP,595,"21,57%",129,DRS 2
352780,LUPERCIO,SP,532,"22,09%",118,DRS 9
352790,LUTECIA,SP,304,"23,00%",70,DRS 9
352800,MACATUBA,SP,1934,"22,53%",436,DRS 6
352810,MACAUBAL,SP,1026,"25,72%",264,DRS 15
352820,MACEDONIA,SP,524,"28,51%",150,DRS 15
352830,MAGDA,SP,415,"27,80%",116,DRS 15
352840,MAIRINQUE,SP,5275,"22,08%",1165,DRS 16
352850,MAIRIPORA,SP,10645,"21,05%",2241,DRS 1
352860,MANDURI,SP,1104,"22,09%",244,DRS 6
352870,MARABA PAULISTA,SP,416,"24,81%",104,DRS 11
352880,MARACAI,SP,1699,"24,02%",409,DRS 9
352885,MARAPOAMA,SP,352,"23,62%",84,DRS 15
352890,MARIAPOLIS,SP,449,"23,10%",104,DRS 9
352900,MARILIA,SP,30706,"24,47%",7514,DRS 9
352910,MARINOPOLIS,SP,284,"27,10%",77,DRS 15
352920,MARTINOPOLIS,SP,3087,"24,39%",753,DRS 11
352930,MATAO,SP,10214,"24,08%",2460,DRS 3
352940,MAUA,SP,50349,"20,53%",10337,DRS 1
352950,MENDONCA,SP,602,"21,93%",133,DRS 15
352960,MERIDIANO,SP,498,"24,83%",124,DRS 15
352965,MESOPOLIS,SP,222,"23,90%",54,DRS 15
352970,MIGUELOPOLIS,SP,2254,"20,15%",455,DRS 8
352980,MINEIROS DO TIETE,SP,1504,"22,98%",346,DRS 6
352990,MIRACATU,SP,1952,"20,08%",392,DRS 12
353000,MIRA ESTRELA,SP,432,"26,85%",116,DRS 15
353010,MIRANDOPOLIS,SP,3381,"25,74%",871,DRS 2
353020,MIRANTE DO PARANAPANEMA,SP,2171,"24,09%",523,DRS 11
353030,MIRASSOL,SP,7483,"24,24%",1814,DRS 15
353040,MIRASSOLANDIA,SP,595,"24,78%",148,DRS 15
353050,MOCOCA,SP,8410,"24,21%",2037,DRS 14
353060,MOGI DAS CRUZES,SP,49459,"21,14%",10456,DRS 1
353070,MOGI GUACU,SP,17771,"22,83%",4058,DRS 14
353080,MOGI MIRIM,SP,11610,"24,20%",2810,DRS 14
353090,MOMBUCA,SP,367,"21,19%",78,DRS 10
353100,MONCOES,SP,316,"29,59%",94,DRS 15
353110,MONGAGUA,SP,7598,"25,47%",1936,DRS 4
353120,MONTE ALEGRE DO SUL,SP,1019,"24,87%",254,DRS 7
353130,MONTE ALTO,SP,6419,"24,67%",1584,DRS 13
353140,MONTE APRAZIVEL,SP,2853,"22,50%",642,DRS 15
353150,MONTE AZUL PAULISTA,SP,2360,"24,85%",587,DRS 5
353160,MONTE CASTELO,SP,566,"26,69%",152,DRS 11
353170,MONTEIRO LOBATO,SP,535,"24,30%",131,DRS 17
353180,MONTE MOR,SP,5811,"18,87%",1097,DRS 7
353190,MORRO AGUDO,SP,2923,"17,90%",524,DRS 8
353200,MORUNGABA,SP,1436,"20,69%",298,DRS 7
353205,MOTUCA,SP,571,"23,35%",134,DRS 3
353210,MURUTINGA DO SUL,SP,627,"27,78%",175,DRS 2
353215,NANTES,SP,306,"19,15%",59,DRS 11
353220,NARANDIBA,SP,487,"20,25%",99,DRS 11
353230,NATIVIDADE DA SERRA,SP,806,"25,89%",209,DRS 17
353240,NAZARE PAULISTA,SP,2137,"23,46%",502,DRS 7
353250,NEVES PAULISTA,SP,1265,"28,02%",355,DRS 15
353260,NHANDEARA,SP,1586,"27,42%",435,DRS 15
353270,NIPOA,SP,428,"17,63%",76,DRS 15
353280,NOVA ALIANCA,SP,812,"22,75%",185,DRS 15
353282,NOVA CAMPINA,SP,844,"17,05%",144,DRS 16
353284,NOVA CANAA PAULISTA,SP,262,"29,60%",78,DRS 15
353286,NOVA CASTILHO,SP,150,"21,65%",33,DRS 2
353290,NOVA EUROPA,SP,1091,"18,85%",206,DRS 3
353300,NOVA GRANADA,SP,2300,"21,42%",493,DRS 15
353310,NOVA GUATAPORANGA,SP,322,"27,81%",90,DRS 11
353320,NOVA INDEPENDENCIA,SP,310,"14,99%",47,DRS 2
353325,NOVAIS,SP,323,"12,15%",40,DRS 15
353330,NOVA LUZITANIA,SP,400,"20,64%",83,DRS 2
353340,NOVA ODESSA,SP,6951,"22,48%",1563,DRS 7
353350,NOVO HORIZONTE,SP,4739,"23,04%",1092,DRS 15
353360,NUPORANGA,SP,882,"23,35%",206,DRS 8
353370,OCAUCU,SP,476,"22,65%",108,DRS 9
353380,OLEO,SP,354,"28,92%",103,DRS 9
353390,OLIMPIA,SP,6385,"22,85%",1459,DRS 5
353400,ONDA VERDE,SP,470,"22,13%",105,DRS 15
353410,ORIENTE,SP,840,"25,07%",211,DRS 9
353420,ORINDIUVA,SP,586,"16,29%",96,DRS 15
353430,ORLANDIA,SP,5093,"22,34%",1138,DRS 8
353440,OSASCO,SP,78660,"21,52%",16928,DRS 1
353450,OSCAR BRESSANE,SP,398,"28,84%",115,DRS 9
353460,OSVALDO CRUZ,SP,4305,"26,92%",1159,DRS 9
353470,OURINHOS,SP,13899,"23,45%",3260,DRS 9
353475,OUROESTE,SP,1152,"21,57%",249,DRS 15
353480,OURO VERDE,SP,978,"22,45%",220,DRS 11
353490,PACAEMBU,SP,1479,"27,53%",408,DRS 9
353500,PALESTINA,SP,1388,"21,78%",303,DRS 15
353510,PALMARES PAULISTA,SP,900,"15,01%",136,DRS 15
353520,PALMEIRA D'OESTE,SP,1293,"28,09%",364,DRS 15
353530,PALMITAL,SP,2843,"24,86%",707,DRS 9
353540,PANORAMA,SP,1620,"20,23%",328,DRS 11
353550,PARAGUACU PAULISTA,SP,5085,"22,75%",1157,DRS 9
353560,PARAIBUNA,SP,2059,"22,95%",473,DRS 17
353570,PARAISO,SP,720,"22,57%",163,DRS 15
353580,PARANAPANEMA,SP,1995,"19,49%",389,DRS 6
353590,PARANAPUA,SP,472,"23,79%",113,DRS 15
353600,PARAPUA,SP,1342,"25,34%",341,DRS 9
353610,PARDINHO,SP,705,"21,61%",153,DRS 6
353620,PARIQUERA-ACU,SP,2117,"21,03%",446,DRS 12
353625,PARISI,SP,283,"26,82%",76,DRS 15
353630,PATROCINIO PAULISTA,SP,1554,"21,15%",329,DRS 8
353640,PAULICEIA,SP,753,"20,89%",158,DRS 11
353650,PAULINIA,SP,11150,"19,28%",2150,DRS 7
353657,PAULISTANIA,SP,193,"21,56%",42,DRS 6
353660,PAULO DE FARIA,SP,1006,"22,63%",228,DRS 15
353670,PEDERNEIRAS,SP,4774,"20,30%",970,DRS 6
353680,PEDRA BELA,SP,646,"22,05%",143,DRS 7
353690,PEDRANOPOLIS,SP,322,"26,90%",87,DRS 15
353700,PEDREGULHO,SP,1708,"20,66%",353,DRS 8
353710,PEDREIRA,SP,5418,"22,08%",1197,DRS 7
353715,PEDRINHAS PAULISTA,SP,440,"27,53%",122,DRS 9
353720,PEDRO DE TOLEDO,SP,1153,"20,41%",236,DRS 12
353730,PENAPOLIS,SP,8037,"24,74%",1989,DRS 2
353740,PEREIRA BARRETO,SP,3104,"24,03%",746,DRS 2
353750,PEREIRAS,SP,913,"20,76%",190,DRS 6
353760,PERUIBE,SP,8724,"24,24%",2115,DRS 4
353770,PIACATU,SP,650,"21,67%",141,DRS 2
353780,PIEDADE,SP,6274,"22,54%",1415,DRS 16
353790,PILAR DO SUL,SP,3219,"22,04%",710,DRS 16
353800,PINDAMONHANGABA,SP,19025,"21,69%",4127,DRS 17
353810,PINDORAMA,SP,1890,"22,58%",427,DRS 15
353820,PINHALZINHO,SP,1942,"24,84%",483,DRS 7
353830,PIQUEROBI,SP,485,"25,78%",126,DRS 11
353850,PIQUETE,SP,1830,"26,37%",483,DRS 17
353860,PIRACAIA,SP,3287,"23,60%",776,DRS 7
353870,PIRACICABA,SP,46615,"22,24%",10368,DRS 10
353880,PIRAJU,SP,3847,"24,93%",960,DRS 6
353890,PIRAJUI,SP,2790,"24,57%",686,DRS 6
