Código,Município,Estado,Total,% Fem - 50 a 69,DRS,Mamografos
350840,CABREUVA,SP,4592,"18,09%",DRS 7,0
350850,CACAPAVA,SP,10671,"22,16%",DRS 17,4
350860,CACHOEIRA PAULISTA,SP,3845,"22,33%",DRS 17,10
350870,CACONDE,SP,2214,"23,20%",DRS 14,1
350880,CAFELANDIA,SP,2086,"23,07%",DRS 6,4
350890,CAIABU,SP,507,"24,96%",DRS 11,0
350900,CAIEIRAS,SP,10895,"20,35%",DRS 1,9
350910,CAIUA,SP,744,"26,87%",DRS 11,7
350920,CAJAMAR,SP,6765,"17,03%",DRS 1,5
350925,CAJATI,SP,2659,"18,71%",DRS 12,6
350930,CAJOBI,SP,1256,"24,36%",DRS 5,0
350940,CAJURU,SP,2753,"20,61%",DRS 13,1
350945,CAMPINA DO MONTE ALEGRE,SP,662,"22,24%",DRS 16,7
350950,CAMPINAS,SP,143078,"22,59%",DRS 7,0
350960,CAMPO LIMPO PAULISTA,SP,9371,"21,17%",DRS 7,8
350970,CAMPOS DO JORDAO,SP,5657,"20,98%",DRS 17,8
350980,CAMPOS NOVOS PAULISTA,SP,517,"21,21%",DRS 9,5
350990,CANANEIA,SP,1325,"21,23%",DRS 12,1
350995,CANAS,SP,441,"16,81%",DRS 17,4
351000,CANDIDO MOTA,SP,3946,"24,55%",DRS 9,3
351010,CANDIDO RODRIGUES,SP,363,"26,02%",DRS 3,0
351015,CANITAR,SP,449,"16,99%",DRS 9,1
351020,CAPAO BONITO,SP,4918,"20,85%",DRS 16,2
351030,CAPELA DO ALTO,SP,2025,"20,22%",DRS 16,2
351040,CAPIVARI,SP,5615,"20,05%",DRS 10,10
351050,CARAGUATATUBA,SP,13579,"21,41%",DRS 17,9
351060,CARAPICUIBA,SP,40679,"19,45%",DRS 1,4
351070,CARDOSO,SP,1588,"25,72%",DRS 15,0
351080,CASA BRANCA,SP,3352,"23,38%",DRS 14,1
351090,CASSIA DOS COQUEIROS,SP,320,"25,93%",DRS 13,10
351100,CASTILHO,SP,2266,"21,29%",DRS 2,8
351110,CATANDUVA,SP,15542,"24,56%",DRS 15,9
351120,CATIGUA,SP,903,"23,33%",DRS 15,7
351130,CEDRAL,SP,1126,"23,87%",DRS 15,7
351140,CERQUEIRA CESAR,SP,2075,"20,24%",DRS 6,4
351150,CERQUILHO,SP,5556,"21,84%",DRS 16,0
351160,CESARIO LANGE,SP,1683,"18,86%",DRS 16,5
351170,CHARQUEADA,SP,1654,"19,64%",DRS 10,1
351190,CLEMENTINA,SP,717,"16,97%",DRS 2,1
351200,COLINA,SP,2165,"23,14%",DRS 5,9
351210,COLOMBIA,SP,664,"21,70%",DRS 5,7
351220,CONCHAL,SP,2678,"19,21%",DRS 10,3
351230,CONCHAS,SP,2086,"22,93%",DRS 6,8
351240,CORDEIROPOLIS,SP,2495,"20,24%",DRS 10,5
351250,COROADOS,SP,682,"22,11%",DRS 2,6
351260,CORONEL MACEDO,SP,567,"25,43%",DRS 6,3
351270,CORUMBATAI,SP,467,"23,21%",DRS 10,9
351280,COSMOPOLIS,SP,6816,"18,38%",DRS 7,6
351290,COSMORAMA,SP,948,"26,74%",DRS 15,1
351300,COTIA,SP,26155,"19,86%",DRS 1,9
351310,CRAVINHOS,SP,3888,"21,62%",DRS 13,2
351320,CRISTAIS PAULISTA,SP,938,"21,97%",DRS 8,8
351330,CRUZALIA,SP,312,"29,86%",DRS 9,5
351340,CRUZEIRO,SP,9784,"23,05%",DRS 17,6
351350,CUBATAO,SP,12991,"19,51%",DRS 4,1
351360,CUNHA,SP,2599,"24,72%",DRS 17,4
351370,DESCALVADO,SP,4046,"23,39%",DRS 3,1
351380,DIADEMA,SP,45196,"20,27%",DRS 1,1
351385,DIRCE REIS,SP,224,"25,93%",DRS 15,10
351390,DIVINOLANDIA,SP,1502,"26,92%",DRS 14,8
351400,DOBRADA,SP,759,"17,09%",DRS 3,10
351410,DOIS CORREGOS,SP,2667,"19,47%",DRS 6,5
351420,DOLCINOPOLIS,SP,282,"27,49%",DRS 15,3
351430,DOURADO,SP,1109,"25,05%",DRS 3,4
351440,DRACENA,SP,6046,"26,14%",DRS 11,6
351450,DUARTINA,SP,1614,"25,48%",DRS 6,0
351460,DUMONT,SP,949,"18,65%",DRS 13,4
351470,ECHAPORA,SP,761,"24,99%",DRS 9,2
351480,ELDORADO,SP,1473,"19,08%",DRS 12,3
351490,ELIAS FAUSTO,SP,1839,"21,33%",DRS 10,10
351492,ELISIARIO,SP,351,"20,31%",DRS 15,10
351495,EMBAUBA,SP,281,"24,27%",DRS 15,3
351500,EMBU DAS ARTES,SP,26692,"18,49%",DRS 1,7
351510,EMBU-GUACU,SP,7106,"20,08%",DRS 1,6
351512,EMILIANOPOLIS,SP,383,"23,97%",DRS 11,5
351515,ENGENHEIRO COELHO,SP,1472,"14,39%",DRS 10,1
351518,ESPIRITO SANTO DO PINHAL,SP,5578,"24,48%",DRS 14,7
351519,ESPIRITO SANTO DO TURVO,SP,503,"20,18%",DRS 9,7
351520,ESTRELA D'OESTE,SP,1036,"24,78%",DRS 15,7
351530,ESTRELA DO NORTE,SP,295,"22,18%",DRS 11,3
351535,EUCLIDES DA CUNHA PAULISTA,SP,1014,"22,24%",DRS 11,8
351540,FARTURA,SP,1959,"23,54%",DRS 6,2
351550,FERNANDOPOLIS,SP,9294,"26,11%",DRS 15,3
351560,FERNANDO PRESTES,SP,696,"23,71%",DRS 15,3
351565,FERNAO,SP,182,"21,44%",DRS 9,9
351570,FERRAZ DE VASCONCELOS,SP,19230,"18,83%",DRS 1,0
351580,FLORA RICA,SP,190,"27,82%",DRS 11,5
351590,FLOREAL,SP,466,"32,05%",DRS 15,10
351600,FLORIDA PAULISTA,SP,1317,"21,97%",DRS 9,10
351610,FLORINIA,SP,371,"27,71%",DRS 9,5
351620,FRANCA,SP,40697,"22,12%",DRS 8,2
351630,FRANCISCO MORATO,SP,16222,"17,98%",DRS 1,2
351640,FRANCO DA ROCHA,SP,13982,"17,95%",DRS 1,10
351650,GABRIEL MONTEIRO,SP,417,"30,26%",DRS 2,0
351660,GALIA,SP,785,"24,32%",DRS 9,4
351670,GARCA,SP,5393,"23,62%",DRS 9,1
351680,GASTAO VIDIGAL,SP,427,"21,08%",DRS 15,0
351685,GAVIAO PEIXOTO,SP,463,"19,24%",DRS 3,9
351690,GENERAL SALGADO,SP,1463,"26,94%",DRS 15,3
351700,GETULINA,SP,1106,"21,55%",DRS 6,10
351710,GLICERIO,SP,525,"21,72%",DRS 2,2
351720,GUAICARA,SP,1268,"20,90%",DRS 6,6
351730,GUAIMBE,SP,639,"22,09%",DRS 9,9
351740,GUAIRA,SP,4733,"22,63%",DRS 5,2
351750,GUAPIACU,SP,2443,"22,45%",DRS 15,0
351760,GUAPIARA,SP,1878,"22,57%",DRS 16,9
351770,GUARA,SP,2066,"19,27%",DRS 8,0
351780,GUARACAI,SP,1105,"26,59%",DRS 2,10
351790,GUARACI,SP,1107,"20,08%",DRS 5,6
351800,GUARANI D'OESTE,SP,259,"24,39%",DRS 15,1
351810,GUARANTA,SP,709,"21,17%",DRS 9,2
351820,GUARARAPES,SP,4232,"25,09%",DRS 2,10
351830,GUARAREMA,SP,3271,"21,53%",DRS 1,3
351840,GUARATINGUETA,SP,15531,"24,27%",DRS 17,10
351850,GUAREI,SP,1198,"20,21%",DRS 16,4
351860,GUARIBA,SP,3758,"18,66%",DRS 13,2
351870,GUARUJA,SP,34769,"20,79%",DRS 4,7
351880,GUARULHOS,SP,144096,"19,95%",DRS 1,3
351885,GUATAPARA,SP,769,"20,42%",DRS 13,6
351890,GUZOLANDIA,SP,589,"22,65%",DRS 2,8
351900,HERCULANDIA,SP,1075,"22,45%",DRS 9,4
351905,HOLAMBRA,SP,1641,"21,17%",DRS 7,9
351907,HORTOLANDIA,SP,23218,"20,07%",DRS 7,10
351910,IACANGA,SP,1182,"21,11%",DRS 6,7
351920,IACRI,SP,835,"27,29%",DRS 9,2
351925,IARAS,SP,414,"18,55%",DRS 6,5
351930,IBATE,SP,3261,"19,01%",DRS 3,9
351940,IBIRA,SP,1398,"22,51%",DRS 15,6
351950,IBIRAREMA,SP,805,"20,67%",DRS 9,2
351960,IBITINGA,SP,6725,"21,89%",DRS 3,6
351970,IBIUNA,SP,8345,"21,16%",DRS 16,0
351980,ICEM,SP,825,"20,29%",DRS 15,2
351990,IEPE,SP,974,"23,71%",DRS 11,8
352000,IGARACU DO TIETE,SP,2842,"22,78%",DRS 6,5
352010,IGARAPAVA,SP,3306,"21,62%",DRS 8,4
352020,IGARATA,SP,1125,"23,64%",DRS 17,1
352030,IGUAPE,SP,3681,"23,64%",DRS 12,8
352040,ILHABELA,SP,3300,"18,23%",DRS 17,3
352042,ILHA COMPRIDA,SP,1850,"30,96%",DRS 12,9
352044,ILHA SOLTEIRA,SP,3735,"27,04%",DRS 2,7
352050,INDAIATUBA,SP,27518,"21,08%",DRS 7,10
352060,INDIANA,SP,592,"24,49%",DRS 11,0
352070,INDIAPORA,SP,556,"27,94%",DRS 15,3
352080,INUBIA PAULISTA,SP,455,"22,51%",DRS 9,10
352090,IPAUSSU,SP,1497,"20,35%",DRS 9,2
352100,IPERO,SP,3176,"17,75%",DRS 16,3
352110,IPEUNA,SP,660,"17,63%",DRS 10,7
352115,IPIGUA,SP,691,"24,89%",DRS 15,1
352120,IPORANGA,SP,383,"18,55%",DRS 12,4
352130,IPUA,SP,1480,"18,11%",DRS 8,7
352140,IRACEMAPOLIS,SP,2578,"20,68%",DRS 10,9
352150,IRAPUA,SP,816,"21,78%",DRS 15,10
352160,IRAPURU,SP,769,"26,66%",DRS 11,0
352170,ITABERA,SP,2012,"23,37%",DRS 16,0
352180,ITAI,SP,2439,"20,03%",DRS 6,6
352190,ITAJOBI,SP,1998,"26,45%",DRS 15,2
352200,ITAJU,SP,332,"18,15%",DRS 6,6
352210,ITANHAEM,SP,13379,"24,54%",DRS 4,10
352215,ITAOCA,SP,367,"23,13%",DRS 16,4
352220,ITAPECERICA DA SERRA,SP,16526,"18,69%",DRS 1,6
352230,ITAPETININGA,SP,16964,"20,40%",DRS 16,7
352240,ITAPEVA,SP,9683,"20,14%",DRS 16,1
352250,ITAPEVI,SP,21061,"16,98%",DRS 1,1
352260,ITAPIRA,SP,9280,"24,19%",DRS 14,8
352265,ITAPIRAPUA PAULISTA,SP,316,"15,14%",DRS 16,3
352270,ITAPOLIS,SP,5148,"23,61%",DRS 3,6
352280,ITAPORANGA,SP,1800,"23,90%",DRS 6,2
352290,ITAPUI,SP,1458,"20,53%",DRS 6,4
352300,ITAPURA,SP,529,"22,01%",DRS 2,5
352310,ITAQUAQUECETUBA,SP,34792,"17,98%",DRS 1,1
352320,ITARARE,SP,5495,"21,32%",DRS 16,0
352330,ITARIRI,SP,1565,"17,61%",DRS 12,0
352340,ITATIBA,SP,13586,"21,67%",DRS 7,4
352350,ITATINGA,SP,1817,"17,71%",DRS 6,3
352360,ITIRAPINA,SP,1555,"21,29%",DRS 10,6
352370,ITIRAPUA,SP,626,"19,25%",DRS 8,1
352380,ITOBI,SP,881,"23,21%",DRS 14,10
352390,ITU,SP,19303,"21,51%",DRS 16,0
352400,ITUPEVA,SP,5332,"16,89%",DRS 7,9
352410,ITUVERAVA,SP,4984,"23,01%",DRS 8,10
352420,JABORANDI,SP,717,"20,64%",DRS 5,2
352430,JABOTICABAL,SP,9413,"23,50%",DRS 13,3
352440,JACAREI,SP,27660,"22,70%",DRS 17,1
352450,JACI,SP,736,"20,40%",DRS 15,5
352460,JACUPIRANGA,SP,1867,"21,29%",DRS 12,4
352470,JAGUARIUNA,SP,6206,"20,44%",DRS 7,3
352480,JALES,SP,6830,"27,10%",DRS 15,3
352490,JAMBEIRO,SP,628,"19,20%",DRS 17,8
352500,JANDIRA,SP,12297,"18,76%",DRS 1,0
352510,JARDINOPOLIS,SP,4560,"20,26%",DRS 13,5
352520,JARINU,SP,3094,"19,80%",DRS 7,2
352530,JAU,SP,17400,"22,22%",DRS 6,9
352540,JERIQUARA,SP,292,"18,41%",DRS 8,4
352550,JOANOPOLIS,SP,1611,"23,88%",DRS 7,8
352560,JOAO RAMALHO,SP,498,"22,20%",DRS 11,7
352570,JOSE BONIFACIO,SP,4145,"22,13%",DRS 15,0
352580,JULIO MESQUITA,SP,537,"22,29%",DRS 9,9
352585,JUMIRIM,SP,325,"19,12%",DRS 16,7
352590,JUNDIAI,SP,50267,"22,97%",DRS 7,0
352600,JUNQUEIROPOLIS,SP,2337,"24,25%",DRS 11,2
352610,JUQUIA,SP,2056,"22,18%",DRS 12,6
352620,JUQUITIBA,SP,3193,"20,55%",DRS 1,5
352630,LAGOINHA,SP,584,"24,77%",DRS 17,9
352640,LARANJAL PAULISTA,SP,3282,"22,38%",DRS 6,4
352650,LAVINIA,SP,504,"25,36%",DRS 2,5
352660,LAVRINHAS,SP,725,"19,54%",DRS 17,8
352670,LEME,SP,10702,"20,41%",DRS 10,2
352680,LENCOIS PAULISTA,SP,7439,"21,27%",DRS 6,3
352690,LIMEIRA,SP,36726,"23,21%",DRS 10,2
352700,LINDOIA,SP,881,"21,17%",DRS 7,10
352710,LINS,SP,9474,"23,58%",DRS 6,0
352720,LORENA,SP,10327,"22,34%",DRS 17,8
352725,LOURDES,SP,298,"27,44%",DRS 2,3
352730,LOUVEIRA,SP,3885,"15,53%",DRS 7,9
352740,LUCELIA,SP,2461,"24,64%",DRS 9,9
352750,LUCIANOPOLIS,SP,269,"21,96%",DRS 6,3
352760,LUIS ANTONIO,SP,1341,"17,88%",DRS 13,9
352770,LUIZIANIA,SP,595,"21,57%",DRS 2,7
352780,LUPERCIO,SP,532,"22,09%",DRS 9,9
352790,LUTECIA,SP,304,"23,00%",DRS 9,0
352800,MACATUBA,SP,1934,"22,53%",DRS 6,9
352810,MACAUBAL,SP,1026,"25,72%",DRS 15,2
352820,MACEDONIA,SP,524,"28,51%",DRS 15,8
352830,MAGDA,SP,415,"27,80%",DRS 15,4
352840,MAIRINQUE,SP,5275,"22,08%",DRS 16,5
352850,MAIRIPORA,SP,10645,"21,05%",DRS 1,9
352860,MANDURI,SP,1104,"22,09%",DRS 6,0
352870,MARABA PAULISTA,SP,416,"24,81%",DRS 11,3
352880,MARACAI,SP,1699,"24,02%",DRS 9,3
352885,MARAPOAMA,SP,352,"23,62%",DRS 15,0
352890,MARIAPOLIS,SP,449,"23,10%",DRS 9,6
352900,MARILIA,SP,30706,"24,47%",DRS 9,1
352910,MARINOPOLIS,SP,284,"27,10%",DRS 15,4
352920,MARTINOPOLIS,SP,3087,"24,39%",DRS 11,9
352930,MATAO,SP,10214,"24,08%",DRS 3,10
352940,MAUA,SP,50349,"20,53%",DRS 1,3
352950,MENDONCA,SP,602,"21,93%",DRS 15,10
352960,MERIDIANO,SP,498,"24,83%",DRS 15,1
352965,MESOPOLIS,SP,222,"23,90%",DRS 15,0
352970,MIGUELOPOLIS,SP,2254,"20,15%",DRS 8,7
352980,MINEIROS DO TIETE,SP,1504,"22,98%",DRS 6,7
352990,MIRACATU,SP,1952,"20,08%",DRS 12,8
353000,MIRA ESTRELA,SP,432,"26,85%",DRS 15,0
353010,MIRANDOPOLIS,SP,3381,"25,74%",DRS 2,2
353020,MIRANTE DO PARANAPANEMA,SP,2171,"24,09%",DRS 11,7
353030,MIRASSOL,SP,7483,"24,24%",DRS 15,6
353040,MIRASSOLANDIA,SP,595,"24,78%",DRS 15,7
353050,MOCOCA,SP,8410,"24,21%",DRS 14,7
353060,MOGI DAS CRUZES,SP,49459,"21,14%",DRS 1,7
353070,MOGI GUACU,SP,17771,"22,83%",DRS 14,0
353080,MOGI MIRIM,SP,11610,"24,20%",DRS 14,0
353090,MOMBUCA,SP,367,"21,19%",DRS 10,2
353100,MONCOES,SP,316,"29,59%",DRS 15,3
353110,MONGAGUA,SP,7598,"25,47%",DRS 4,8
353120,MONTE ALEGRE DO SUL,SP,1019,"24,87%",DRS 7,10
353130,MONTE ALTO,SP,6419,"24,67%",DRS 13,8
353140,MONTE APRAZIVEL,SP,2853,"22,50%",DRS 15,3
353150,MONTE AZUL PAULISTA,SP,2360,"24,85%",DRS 5,9
353160,MONTE CASTELO,SP,566,"26,69%",DRS 11,7
353170,MONTEIRO LOBATO,SP,535,"24,30%",DRS 17,5
353180,MONTE MOR,SP,5811,"18,87%",DRS 7,4
353190,MORRO AGUDO,SP,2923,"17,90%",DRS 8,2
353200,MORUNGABA,SP,1436,"20,69%",DRS 7,3
353205,MOTUCA,SP,571,"23,35%",DRS 3,2
353210,MURUTINGA DO SUL,SP,627,"27,78%",DRS 2,8
353215,NANTES,SP,306,"19,15%",DRS 11,4
353220,NARANDIBA,SP,487,"20,25%",DRS 11,3
353230,NATIVIDADE DA SERRA,SP,806,"25,89%",DRS 17,0
353240,NAZARE PAULISTA,SP,2137,"23,46%",DRS 7,1
353250,NEVES PAULISTA,SP,1265,"28,02%",DRS 15,6
353260,NHANDEARA,SP,1586,"27,42%",DRS 15,8
353270,NIPOA,SP,428,"17,63%",DRS 15,3
353280,NOVA ALIANCA,SP,812,"22,75%",DRS 15,1
353282,NOVA CAMPINA,SP,844,"17,05%",DRS 16,7
353284,NOVA CANAA PAULISTA,SP,262,"29,60%",DRS 15,8
353286,NOVA CASTILHO,SP,150,"21,65%",DRS 2,3
353290,NOVA EUROPA,SP,1091,"18,85%",DRS 3,3
353300,NOVA GRANADA,SP,2300,"21,42%",DRS 15,1
353310,NOVA GUATAPORANGA,SP,322,"27,81%",DRS 11,2
353320,NOVA INDEPENDENCIA,SP,310,"14,99%",DRS 2,10
353325,NOVAIS,SP,323,"12,15%",DRS 15,10
353330,NOVA LUZITANIA,SP,400,"20,64%",DRS 2,4
353340,NOVA ODESSA,SP,6951,"22,48%",DRS 7,10
353350,NOVO HORIZONTE,SP,4739,"23,04%",DRS 15,7
353360,NUPORANGA,SP,882,"23,35%",DRS 8,3
353370,OCAUCU,SP,476,"22,65%",DRS 9,3
353380,OLEO,SP,354,"28,92%",DRS 9,4
353390,OLIMPIA,SP,6385,"22,85%",DRS 5,9
353400,ONDA VERDE,SP,470,"22,13%",DRS 15,10
353410,ORIENTE,SP,840,"25,07%",DRS 9,3
353420,ORINDIUVA,SP,586,"16,29%",DRS 15,4
353430,ORLANDIA,SP,5093,"22,34%",DRS 8,2
353440,OSASCO,SP,78660,"21,52%",DRS 1,2
353450,OSCAR BRESSANE,SP,398,"28,84%",DRS 9,4
353460,OSVALDO CRUZ,SP,4305,"26,92%",DRS 9,5
353470,OURINHOS,SP,13899,"23,45%",DRS 9,10
353475,OUROESTE,SP,1152,"21,57%",DRS 15,1
353480,OURO VERDE,SP,978,"22,45%",DRS 11,4
353490,PACAEMBU,SP,1479,"27,53%",DRS 9,2
353500,PALESTINA,SP,1388,"21,78%",DRS 15,2
353510,PALMARES PAULISTA,SP,900,"15,01%",DRS 15,1
353520,PALMEIRA D'OESTE,SP,1293,"28,09%",DRS 15,0
353530,PALMITAL,SP,2843,"24,86%",DRS 9,10
353540,PANORAMA,SP,1620,"20,23%",DRS 11,4
353550,PARAGUACU PAULISTA,SP,5085,"22,75%",DRS 9,7
353560,PARAIBUNA,SP,2059,"22,95%",DRS 17,2
353570,PARAISO,SP,720,"22,57%",DRS 15,3
353580,PARANAPANEMA,SP,1995,"19,49%",DRS 6,10
353590,PARANAPUA,SP,472,"23,79%",DRS 15,10
353600,PARAPUA,SP,1342,"25,34%",DRS 9,7
353610,PARDINHO,SP,705,"21,61%",DRS 6,0
353620,PARIQUERA-ACU,SP,2117,"21,03%",DRS 12,4
353625,PARISI,SP,283,"26,82%",DRS 15,0
353630,PATROCINIO PAULISTA,SP,1554,"21,15%",DRS 8,4
353640,PAULICEIA,SP,753,"20,89%",DRS 11,2
353650,PAULINIA,SP,11150,"19,28%",DRS 7,4
353657,PAULISTANIA,SP,193,"21,56%",DRS 6,10
353660,PAULO DE FARIA,SP,1006,"22,63%",DRS 15,4
353670,PEDERNEIRAS,SP,4774,"20,30%",DRS 6,3
353680,PEDRA BELA,SP,646,"22,05%",DRS 7,9
353690,PEDRANOPOLIS,SP,322,"26,90%",DRS 15,4
353700,PEDREGULHO,SP,1708,"20,66%",DRS 8,1
353710,PEDREIRA,SP,5418,"22,08%",DRS 7,5
353715,PEDRINHAS PAULISTA,SP,440,"27,53%",DRS 9,4
353720,PEDRO DE TOLEDO,SP,1153,"20,41%",DRS 12,8
353730,PENAPOLIS,SP,8037,"24,74%",DRS 2,5
353740,PEREIRA BARRETO,SP,3104,"24,03%",DRS 2,0
353750,PEREIRAS,SP,913,"20,76%",DRS 6,3
353760,PERUIBE,SP,8724,"24,24%",DRS 4,1
353770,PIACATU,SP,650,"21,67%",DRS 2,2
353780,PIEDADE,SP,6274,"22,54%",DRS 16,8
353790,PILAR DO SUL,SP,3219,"22,04%",DRS 16,0
353800,PINDAMONHANGABA,SP,19025,"21,69%",DRS 17,4
353810,PINDORAMA,SP,1890,"22,58%",DRS 15,7
353820,PINHALZINHO,SP,1942,"24,84%",DRS 7,9
353830,PIQUEROBI,SP,485,"25,78%",DRS 11,4
353850,PIQUETE,SP,1830,"26,37%",DRS 17,1
353860,PIRACAIA,SP,3287,"23,60%",DRS 7,10
353870,PIRACICABA,SP,46615,"22,24%",DRS 10,3
353880,PIRAJU,SP,3847,"24,93%",DRS 6,2
353890,PIRAJUI,SP,2790,"24,57%",DRS 6,8
353900,PIRANGI,SP,1412,"24,85%",DRS 15,6
353910,PIRAPORA DO BOM JESUS,SP,1662,"16,95%",DRS 1,0
353920,PIRAPOZINHO,SP,3331,"23,57%",DRS 11,2
353930,PIRASSUNUNGA,SP,9382,"23,82%",DRS 10,8
